No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
64,10103,아니오,아니오,동서청기와,신암동서청기와,개별난방,아니오,예,경산안전팀,1988-11-09,2005.0,11 월,동구 아양로49길 20 (신암동 1525),954-1133,330,7.0,사용,등록,대구광역시 동구 아양로49길 20,35.887664193,128.639308718
65,10104,아니오,아니오,보성2차신암타운,신암보성2차,개별난방,아니오,예,경산안전팀,1988-11-05,2005.0,11 월,동구 아양로49길 77 (신암동 67),955-6208,495,10.0,사용,등록,대구광역시 동구 아양로49길 77,35.890981761,128.633386705
66,10105,아니오,아니오,동서타운,신암동서2차,개별난방,아니오,예,경산안전팀,1988-10-08,2005.0,10 월,동구 아양로39길 20 (신암동 31),955-4982,129,2.0,사용,등록,대구광역시 동구 아양로39길 20,35.887883485,128.634351984
67,10106,아니오,아니오,신암경대,신암경대,개별난방,아니오,예,중부안전팀,1989-12-05,2005.0,12 월,동구 경대로 88 (신암동 666-10),,50,1.0,사용,미등록,대구광역시 동구 경대로 88,,
68,10107,아니오,아니오,동원맨션,신암동원,개별난방,아니오,예,중부안전팀,1992-03-05,2004.0, 3 월,동구 신암남로23길 17 (신암동 258-1),955-9168,,,사용,등록,대구광역시 동구 신암남로23길 17,35.882194465,128.627531449
69,10108,아니오,아니오,동림맨션,신암동림,개별난방,아니오,예,중부안전팀,1992-05-08,2004.0, 5 월,동구 신암남로23길 13 (신암동 258-16),958-2303,,,사용,등록,대구광역시 동구 신암남로23길 13,35.881683295,128.627721462
70,10109,아니오,아니오,고려아파트,신암고려,개별난방,아니오,예,중부안전팀,1992-11-16,2004.0,11 월,동구 신암남로23길 30 (신암동 283-5),941-6044,39,1.0,사용,등록,대구광역시 동구 신암남로23길 30,35.883176682,128.628203627
71,10110,아니오,아니오,강남아파트,신암강남(재개발),개별난방,아니오,예,중부안전팀,1992-06-24,2004.0, 6 월,동구 신성로 60 (신암동 483-3),943-7850,629,5.0,사용,등록,대구광역시 동구 신성로 60,35.880118113,128.613295475
72,10111,아니오,아니오,동방맨션,신암동방,개별난방,아니오,예,중부안전팀,1993-02-03,2005.0, 2 월,동구 아양로22길 43 (신암동 258-17),953-9432,,,사용,등록,대구광역시 동구 아양로22길 43,35.881392079,128.627806202
73,10112,아니오,아니오,신암제일,신암제일,개별난방,아니오,예,중부안전팀,1994-07-13,2006.0, 7 월,동구 동대구로 596 (신암동 246-3),941-8612,48,2.0,사용,미등록,대구광역시 동구 동대구로 596,,
74,10113,아니오,아니오,양지아파트,신암양지,개별난방,아니오,예,중부안전팀,1994-08-26,2006.0, 8 월,동구 신암로12길 7 (신암동 1298-36),958-2838,30,1.0,사용,등록,대구광역시 동구 신암로12길 7,35.876796029,128.607612778
75,10114,아니오,아니오,신암동대구,신암동대구맨션,개별난방,아니오,예,중부안전팀,1998-10-22,2004.0,10 월,동구 동대구로 588 (신암동 245-1),958-4625,,,사용,미등록,대구광역시 동구 동대구로 588,,
76,10115,아니오,아니오,진로이스트타운,신암진로2차,개별난방,아니오,예,경산안전팀,1998-10-29,2004.0,10 월,동구 동북로 460 (신암동 373-1),944-0658,178,3.0,사용,등록,대구광역시 동구 동북로 460,35.882775929,128.634539104
77,10116,아니오,아니오,거북아파트,신암거북맨션,개별난방,아니오,예,중부안전팀,1999-11-29,2005.0,11 월,동구 아양로15길 26 (신암동 612-8),941-0268,48,1.0,사용,등록,대구광역시 동구 아양로15길 26,35.884459473,128.623117791
78,10117,아니오,아니오,신암청운,신암청운,개별난방,아니오,아니오,중부안전팀,2000-08-07,, 8 월,동구 신암북로7길 60 (신암동 667-22),,17,1.0,사용,미등록,대구광역시 동구 신암북로7길 60,,
79,10118,아니오,아니오,금오아파트,신암금오,개별난방,아니오,예,중부안전팀,2000-10-02,2006.0,10 월,동구 신암북로11길 6 (신암동 676-1),,33,1.0,사용,등록,대구광역시 동구 신암북로11길 6,35.887679485,128.622601872
80,10119,아니오,아니오,밀레니엄아파트,신암밀레니엄,개별난방,아니오,예,중부안전팀,2000-12-08,2006.0,12 월,동구 신암북로7길 59 (신암동 657-186),,17,1.0,사용,등록,대구광역시 동구 신암북로7길 59,35.889177821,128.618565912
81,10120,아니오,아니오,이스트캐슬,신암주상복합(이스트캐슬),개별난방,아니오,아니오,경산안전팀,2001-01-16,2004.0, 1 월,동구 신암남로28길 45 (신암동 346-1),,,,사용,등록,대구광역시 동구 신암남로28길 45,35.883258596,128.632038399
82,10121,아니오,아니오,신암유한아파트,신암유한아파트,개별난방,아니오,예,중부안전팀,2001-09-13,2004.0, 9 월,동구 큰고개로 60 (신암동 677-7),,40,1.0,사용,미등록,대구광역시 동구 큰고개로 60,,
83,10122,아니오,아니오,오베이스아파트,신암오베이스,개별난방,아니오,예,경산안전팀,2001-12-28,2004.0,12 월,동구 동북로 440 (신암동 364-8),,,,사용,등록,대구광역시 동구 동북로 440,35.883920823,128.634053112
84,10123,예,아니오,청우골든맨션,,개별난방,아니오,예,,,,,동구 신암남로23길 67 (신암동 290-5),,,,사용,등록,대구광역시 동구 신암남로23길 67,35.88494395,128.630900846
85,10124,예,아니오,삼성플러스빌,,개별난방,아니오,예,,,,,동구 신암남로23길 65 (신암동 290-10),,,,사용,등록,대구광역시 동구 신암남로23길 65,35.884973107,128.630688901
86,10125,예,아니오,이스트타운,,개별난방,아니오,예,,,,,동구 아양로 160 (신암동 288-11),,19,1.0,사용,등록,대구광역시 동구 아양로 160,35.885219473,128.630647769
87,10126,예,아니오,신신아파트,,개별난방,아니오,예,,,,,동구 아양로10길 9 (신암동 215-7),,23,1.0,사용,등록,대구광역시 동구 아양로10길 9,35.88146367,128.620581046
88,10127,예,아니오,청산드림뷰1차,,개별난방,아니오,예,,,,,동구 신암남로23길 51 (신암동 250-6),,,,사용,등록,대구광역시 동구 신암남로23길 51,35.885050168,128.628958703
89,10128,예,아니오,그랜드파크,,개별난방,아니오,예,,,,,동구 아양로14길 4 (신암동 217-1),,19,1.0,사용,등록,대구광역시 동구 아양로14길 4,35.882317761,128.622193738
90,10129,예,아니오,길원탑아파트,,개별난방,아니오,예,,,,,동구 신암남로28길 40 (신암동 355-4),,,,사용,등록,대구광역시 동구 신암남로28길 40,35.88287801,128.632271819
91,10130,예,아니오,청운빌리지,,개별난방,아니오,예,,,,,동구 신암남로23길 26-8 (신암동 282-10),,,,사용,등록,대구광역시 동구 신암남로23길 26-8,35.882417588,128.628437973
92,10131,아니오,아니오,부림아파트,부림아파트,개별난방,아니오,예,중부안전팀,2003-02-19,2006.0, 2 월,동구 아양로34길 24 (신암동 327-2),958-7630,,,사용,등록,대구광역시 동구 아양로34길 24,35.883684009,128.630167496
93,10132,예,아니오,신암파크타운,,개별난방,아니오,예,,,,,동구 큰고개로 54 (신암동 679-1),,18,1.0,사용,미등록,대구광역시 동구 큰고개로 54,,
94,10133,아니오,아니오,로얄이스트2차,신암동로얄이스트(2차),개별난방,아니오,예,경산안전팀,2003-03-24,2006.0, 3 월,동구 신암남로30길 46-1 (신암동 361-1),,18,1.0,사용,등록,대구광역시 동구 신암남로30길 46-1,35.883165075,128.633533935
95,10134,예,아니오,삼승월드타워빌,,개별난방,아니오,예,,,,,동구 아양로 146 (신암동 250-4),,,,사용,등록,대구광역시 동구 아양로 146,35.885258354,128.628988906
96,10135,예,아니오,미도아트캐슬,,개별난방,아니오,예,,,,,동구 아양로34길 53 (신암동 276-3),,,,사용,등록,대구광역시 동구 아양로34길 53,35.881317898,128.628615117
97,10136,예,아니오,청산드림뷰2차,,개별난방,아니오,예,,,,,동구 신암남로23길 63-1 (신암동 290-11),,,,사용,등록,대구광역시 동구 신암남로23길 63-1,35.884965685,128.630495752
98,10137,예,아니오,현대신암타운,,개별난방,아니오,예,,,,,동구 신암남로24길 17 (신암동 350-1),,,,사용,등록,대구광역시 동구 신암남로24길 17,35.880994236,128.630130421
99,10138,아니오,아니오,신암그린타운,신암그린타운아파트,개별난방,아니오,예,중부안전팀,2003-07-08,2006.0, 7 월,동구 신성로 30 (신암동 461-1),953-6611,400,4.0,사용,등록,대구광역시 동구 신성로 30,35.878334598,128.610808496
100,10139,예,아니오,해성칸타빌,,개별난방,아니오,예,,,,,동구 신암남로23길 49-5 (신암동 250-22),,,,사용,등록,대구광역시 동구 신암남로23길 49-5,35.884950901,128.628007673
101,10140,아니오,아니오,우남아파트,우남아파트,개별난방,아니오,예,중부안전팀,2003-09-23,2006.0, 9 월,동구 아양로 20 (신암동 165-20),,37,1.0,사용,등록,대구광역시 동구 아양로 20,35.881187901,128.616498473
102,10141,예,아니오,드림팔레스,,개별난방,아니오,예,,,,,동구 신암남로28길 80-8 (신암동 362-3),,,,사용,등록,대구광역시 동구 신암남로28길 80-8,35.883769389,128.633387421
103,10142,예,아니오,청솔그린타운,,개별난방,아니오,예,,,,,동구 신암남로28길 65 (신암동 346-7),,,,사용,등록,대구광역시 동구 신암남로28길 65,35.88403984,128.632660753
104,10143,아니오,아니오,진산신암그랜드타운,진산복합상가아파트,개별난방,아니오,예,중부안전팀,2004-03-18,, 3 월,동구 신암남로 179 (신암동 342-1),951-8541,44,1.0,사용,등록,대구광역시 동구 신암남로 179,35.885092217,128.63220937
105,10144,예,아니오,고려그린아파트,,개별난방,아니오,아니오,경산안전팀,1992-11-16,,11 월,동구 신암남로23길 26 (신암동 283-10),,,,사용,등록,대구광역시 동구 신암남로23길 26,35.882826607,128.628045453
106,10145,예,아니오,마이홈빌,,개별난방,아니오,예,,,,,동구 아양로 165 (신암동 161-1),,18,1.0,사용,등록,대구광역시 동구 아양로 165,,
107,10146,예,아니오,우남아파트,,개별난방,아니오,예,,,,,동구 아양로 171 (신암동 163-1),,31,1.0,사용,등록,대구광역시 동구 아양로 171,,
108,10147,예,아니오,삼승인터타워빌,,개별난방,아니오,예,,,,,동구 신암남로 69 (신암동 233-16),,20,1.0,사용,등록,대구광역시 동구 신암남로 69,35.879600881,128.623480914
109,10148,예,아니오,큰고개상가아파트,,개별난방,아니오,예,,,,,동구 신암북로 101 (신암동 681-6),,36,1.0,사용,등록,대구광역시 동구 신암북로 101,35.888622601,128.626430223
110,10149,아니오,아니오,신암뜨란채,신암지구주공아파트(뜨란채),개별난방,아니오,예,중부안전팀,2005-08-26,, 8 월,동구 아양로7길 12 (신암동 766),958-8900,828,10.0,사용,등록,대구광역시 동구 아양로7길 12,35.883172783,128.61751624
111,10150,아니오,아니오,73신암아파트,"신암동73시영아파트(3,5,6동)",개별난방,아니오,예,중부안전팀,2005-06-29,, 6 월,동구 신암남로 10 (신암동 193-1),959-6688,131,3.0,사용,등록,대구광역시 동구 신암남로 10,35.877604616,128.61752647
112,10151,아니오,아니오,신암건영캐스빌,건영캐스빌아파트,개별난방,아니오,예,중부안전팀,2005-10-07,,10 월,동구 신암남로 50 (신암동 194-1),,748,11.0,사용,등록,대구광역시 동구 신암남로 50,35.877816078,128.618652789
113,10152,아니오,아니오,반도아파트,신암반도아파트,개별난방,아니오,예,중부안전팀,2005-10-24,,10 월,동구 신암북로 77 (신암동 676-11),,40,1.0,사용,등록,대구광역시 동구 신암북로 77,35.887978523,128.623748286
114,10153,아니오,아니오,삼아아파트,삼아아파트,개별난방,아니오,예,중부안전팀,2005-11-14,,11 월,동구 아양로9길 10 (신암동 597-1),,33,2.0,사용,등록,대구광역시 동구 아양로9길 10,35.882590183,128.619575082
115,10154,예,아니오,신흥아파트,,개별난방,아니오,예,,,,,동구 신암로 132 (신암동 484-3),,23,1.0,사용,등록,대구광역시 동구 신암로 132,35.880819379,128.613716862
