No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
625,22629,아니오,아니오,태전신광빌라,태전신광빌라,개별난방,아니오,예,북부안전팀,1997-08-11,2006, 8 월,북구 학정로13길 28 (태전동 478-1),,19,1,사용,등록,대구광역시 북구 학정로13길 28,35.91639592,128.5496404
626,22630,아니오,아니오,태전삼일빌라,태전삼일빌라,개별난방,아니오,예,북부안전팀,1997-10-23,2006,10 월,북구 학정로13길 26 (태전동 478-13),,16,2,사용,등록,대구광역시 북구 학정로13길 26,35.91617088,128.5495815
627,22631,아니오,아니오,한일아파트,태전한일,개별난방,아니오,예,북부안전팀,1997-12-08,2006,12 월,북구 칠곡중앙대로53길 32 (태전동 205-14),312-1614,680,7,사용,등록,대구광역시 북구 칠곡중앙대로53길 32,35.91972639,128.5431119
628,22632,아니오,아니오,태전동남영아파트,태전남영네오하이츠,개별난방,아니오,예,북부안전팀,1998-01-19,2004, 1 월,북구 칠곡중앙대로46길 15 (태전동 542-1),311-3138,135,2,사용,등록,대구광역시 북구 칠곡중앙대로46길 15,35.9175921,128.5493231
629,22633,아니오,아니오,태전3차우방타운,태전우방3차,개별난방,아니오,예,북부안전팀,1998-12-10,2004,12 월,북구 학정로 126 (태전동 442),311-5890,375,4,사용,등록,대구광역시 북구 학정로 126,35.91901935,128.5512418
630,22634,예,아니오,태전빌라,,개별난방,아니오,예,,,,,북구 학정로7길 9-8 (태전동 693),,16,2,사용,등록,대구광역시 북구 학정로7길 9-8,35.91456454,128.5457362
631,22635,예,아니오,영남빌라,,개별난방,아니오,예,,,,,북구 학정로7길 9-2 (태전동 693-2),,14,2,사용,등록,대구광역시 북구 학정로7길 9-2,35.91476089,128.5461831
632,22636,예,아니오,경성빌라,,개별난방,아니오,예,,,,,북구 학정로7길 9-4 (태전동 693-1),,16,2,사용,등록,대구광역시 북구 학정로7길 9-4,35.91456775,128.5459697
633,22637,아니오,아니오,대원아파트,태전대원,개별난방,아니오,예,북부안전팀,1999-12-13,2005,12 월,북구 태전로15길 7-17 (태전동 304-2),,39,1,사용,등록,대구광역시 북구 태전로15길 7-17,35.92612797,128.5419545
634,22638,아니오,아니오,해원빌라,태전혜원빌라,개별난방,아니오,예,북부안전팀,1999-12-13,2005,12 월,북구 태전로19길 1-8 (태전동 316-1),,16,2,사용,등록,대구광역시 북구 태전로19길 1-8,35.92729877,128.5418236
635,22639,아니오,아니오,삼일맨션,태전삼일,개별난방,아니오,아니오,북부안전팀,2000-09-29,, 9 월,북구 학정로13길 24 (태전동 478-12),,15,1,사용,등록,대구광역시 북구 학정로13길 24,35.91591567,128.5496266
636,22640,예,아니오,남향아파트,,개별난방,아니오,예,,,,,북구 학정로7길 2 (태전동 749-22),,18,1,사용,등록,대구광역시 북구 학정로7길 2,35.91380463,128.5467465
637,22641,예,아니오,태전하이빌,,개별난방,아니오,예,,,,,북구 칠곡중앙대로53길 20 (태전동 205-70),,,,사용,등록,대구광역시 북구 칠곡중앙대로53길 20,35.91889886,128.5444027
638,22642,예,아니오,이지예아파트,,개별난방,아니오,예,,,,,북구 칠곡중앙대로54길 61 (태전동 1074-28),,18,1,사용,등록,대구광역시 북구 칠곡중앙대로54길 61,35.92504875,128.5485318
639,22643,아니오,아니오,태전오피스텔,태전오피스텔,개별난방,아니오,예,북부안전팀,2004-07-23,, 7 월,북구 학정로9길 24 (태전동 497-1),323-3884,56,1,사용,등록,대구광역시 북구 학정로9길 24,35.91576773,128.5478301
640,22699,예,아니오,칠곡대백1차,,기타,아니오,예,,,,,북구 관음로 24 (태전동 1066),,,,사용,미등록,대구광역시 북구 관음로 24,35.93198875,128.541227
641,22701,아니오,아니오,청구장미마을,매천장미마을,개별난방,아니오,예,북부안전팀,1996-10-18,2005,10 월,북구 칠곡중앙대로 45 (매천동 595),312-6313,518,5,사용,등록,대구광역시 북구 칠곡중앙대로 45,35.90059273,128.5457533
