시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,난방방식,난방연료,난방공급업체,고시지역명,고시지역여부,위도,경도
대구광역시,중구,,남산동,A10026037,남산역화성파크드림,아파트,대구광역시 중구 남산동 2385-5 남산역화성파크드림,대구광역시 중구 남산로7길 7,20180913,5,415,개별난방,도시가스,대성에너지,,False,35.858672719,128.5823317
대구광역시,중구,,남산동,A10023856,남산자이하늘채,아파트,대구광역시 중구 남산동 2951-1 남산자이하늘채,대구광역시 중구 명덕로 33,20220415,12,1368,개별난방,도시가스,대성에너지,,False,35.860441422,128.575111431
대구광역시,중구,,남산동,A70044002,남산휴먼시아1단지,아파트,대구광역시 중구 남산동 2990 남산휴먼시아1단지,대구광역시 중구 달구벌대로 1960,20081028,5,499,개별난방,도시가스,대성에너지,,False,35.862223968,128.578582042
대구광역시,중구,,남산동,A70044202,반월당삼정그린코아(아파트),주상복합,대구광역시 중구 남산동 665 반월당삼정그린코아(아파트),대구광역시 중구 중앙대로67길 10,20070727,3,372,개별난방,도시가스,대성에너지,,False,35.863543363,128.592787766
대구광역시,중구,,남산동,A10023505,반월당역 서한포레스트,주상복합,대구광역시 중구 남산동 614-1 반월당역 서한포레스트,대구광역시 중구 중앙대로61길 11,20221226,4,375,개별난방,도시가스,대성에너지,,False,35.860098437,128.591236276
대구광역시,중구,,남산동,A70072601,보성송림맨션,아파트,대구광역시 중구 남산동 2434 보성송림맨션,대구광역시 중구 남산로4길 91,19921217,3,317,개별난방,도시가스,대성에너지,,False,35.86088649,128.584954641
대구광역시,중구,,남산동,A70075102,보성황실타운,아파트,대구광역시 중구 남산동 2466-1 보성황실타운,대구광역시 중구 남산로13길 17,19930329,8,1058,개별난방,도시가스,대성에너지,,False,35.861534175,128.580959613
대구광역시,중구,,남산동,A10024881,이편한세상남산,아파트,대구광역시 중구 남산동 150-2 이편한세상남산,대구광역시 중구 달구벌대로 2020,20200515,4,348,개별난방,도시가스,대성에너지,,False,35.865274118,128.584995053
대구광역시,중구,,남산동,A70072401,인터불고코아시스,아파트,대구광역시 중구 남산동 437-1 인터불고코아시스,대구광역시 중구 명륜로 19,20140207,1,192,개별난방,도시가스,대성에너지,,False,35.864743026,128.588999212
대구광역시,중구,,남산동,A70044003,청라센트럴파크,아파트,대구광역시 중구 남산동 2991 청라센트럴파크,대구광역시 중구 달구벌대로 1970,20081028,6,604,개별난방,도시가스,대성에너지,,False,35.863868039,128.580808045
대구광역시,중구,,남산동,A10023346,청라힐스자이,아파트,대구광역시 중구 남산동 2478 청라힐스자이,대구광역시 중구 남산로 73,20230224,13,947,개별난방,도시가스,대성에너지,,False,35.861569903,128.578875556
대구광역시,중구,,남산동,A10022368,해링턴플레이스 더 반월당,,대구광역시 중구 남산동 603-4 해링턴플레이스 더 반월당,대구광역시 중구 중앙대로61길 30,20240906,3,419,개별난방,도시가스,대성에너지,,False,35.86051182,128.591209659
대구광역시,중구,,남산동,A70080201,효성해링턴플레이스,주상복합,대구광역시 중구 남산동 3006 효성해링턴플레이스,대구광역시 중구 중앙대로66길 20,20140731,5,499,개별난방,도시가스,대성에너지,,False,35.861337891,128.593175137
대구광역시,중구,,대봉동,A10023623,대봉 서한포레스트,주상복합,대구광역시 중구 대봉동 55-68 대봉 서한포레스트,대구광역시 중구 대봉로 240,20220927,4,469,개별난방,도시가스,대성에너지,,False,35.860224106,128.601423807
대구광역시,중구,,대봉동,A10022073,대봉서한이다음,,대구광역시 중구 대봉동 590-395 대봉서한이다음,대구광역시 중구 명덕로 241,20240930,6,541,개별난방,도시가스,대성에너지,,False,35.856875797,128.596937079
대구광역시,중구,,대봉동,A10027678,대봉태왕아너스아파트,아파트,"대구광역시 중구 대봉동 44-17,대구광역시 중구 대봉동 44-17 대봉태왕아너스아파트",대구광역시 중구 동덕로 54,20151130,6,410,개별난방,도시가스,대성에너지,,False,35.859681317,128.604696701
