번지순번,정제된 도로명주소,위도,경도
10225165,대구광역시 북구 구암로50길 8,35.9334257,128.5669232
10224929,대구광역시 북구 구암로49길 9,35.932544,128.5651513
10232569,대구광역시 북구 매천로2길 19,35.8984981,128.5432695
10232576,대구광역시 북구 매천로2길 19-22,35.8987327,128.5447422
10224928,대구광역시 북구 구암로41길 2,35.9318077,128.5634522
10224736,대구광역시 북구 동암로38길 27,35.9413736,128.5693541
10224762,대구광역시 북구 구암로65길 9,35.9397058,128.5675371
10224516,대구광역시 북구 팔거천동로4길 39,35.9270688,128.5553099
10247776,대구광역시 수성구 국채보상로 846,35.8667555,128.6230075
10228157,대구광역시 북구 태전로7길 13,35.9222632,128.5436336
10228277,대구광역시 북구 칠곡중앙대로53길 32,35.9189276,128.542882
10134757,대구광역시 서구 문화로 301,35.8760213,128.5655061
10136362,대구광역시 서구 국채보상로49길 19,35.8727599,128.5572084
10130484,대구광역시 서구 달서천로 92,35.8822886,128.5441996
10132569,대구광역시 서구 북비산로 303-1,35.8797693,128.5665303
10224752,대구광역시 북구 동암로38길 29-45,35.94094390000001,128.5698518
10224773,대구광역시 북구 구암서로 7,35.9373612,128.5642777
10224774,대구광역시 북구 대천로 123,35.9369055,128.5634487
10224777,대구광역시 북구 구암서로 22,35.937606,128.5663656
10224780,대구광역시 북구 대천로 132,35.9354423,128.563513
10224781,대구광역시 북구 구암로49길 24,35.9340901,128.5632407
10224809,대구광역시 북구 구암로41길 1,35.93178,128.563197
10224810,대구광역시 북구 구암로 203-1,35.9317579,128.563054
10225716,대구광역시 북구 동천로 35-18,35.9352615,128.5577237
10139568,대구광역시 서구 국채보상로46길 67-1,35.864529,128.5570073
10139638,대구광역시 서구 국채보상로46길 52,35.8657834,128.5564594
10078282,대구광역시 동구 반야월로 20,35.8738955,128.6907494
10643516,대구광역시 북구 구암로60길 3-12,35.9375316,128.5682302
10225009,대구광역시 북구 구암로60길 3-26,35.9380037,128.5685497
10225027,대구광역시 북구 구암로60길 6,35.9369755,128.5678519
10139709,대구광역시 서구 국채보상로42길 7,35.86963130000001,128.5543954
10139724,대구광역시 서구 서대구로 117,35.8683807,128.5549199
10139763,대구광역시 서구 서대구로 77,35.864668,128.5555256
10138366,대구광역시 서구 통학로13길 6,35.8661746,128.5621552
10228571,대구광역시 북구 태전로13길 10,35.925384,128.5424426
10229147,대구광역시 북구 칠곡중앙대로 217,35.9155013,128.5480981
10141427,대구광역시 서구 국채보상로 171,35.8698364,128.5498562
10133186,대구광역시 서구 문화로 235,35.87588,128.5585172
10133196,대구광역시 서구 문화로 233,35.8758199,128.5582086
10229166,대구광역시 북구 학정로1길 54,35.9176511,128.5472636
10372110,대구광역시 달성군 다사읍 매곡로14길 11,35.8671744,128.4556782
10138908,대구광역시 서구 국채보상로50길 5,35.86651490000001,128.5594998
10138940,대구광역시 서구 국채보상로50길 43,35.8672543,128.5600114
10133222,대구광역시 서구 문화로47길 3,35.8759386,128.5575897
10229124,대구광역시 북구 학정로13길 16,35.9152016,128.5498588
10229132,대구광역시 북구 칠곡중앙대로42길 2,35.9153348,128.5489554
10148024,대구광역시 서구 고성로15길 19-15,35.8854028,128.5765084
10148887,대구광역시 서구 달서로54길 12,35.8851037,128.5752224
10643544,대구광역시 서구 서대구로45길 60,35.87831329999999,128.5484077
10140033,대구광역시 서구 평리로57길 31,35.866089,128.5540901
10140098,대구광역시 서구 국채보상로38길 71,35.8635489,128.5535422
10147753,대구광역시 서구 고성로15길 27,35.8849094,128.5769802
10230082,대구광역시 북구 칠곡중앙대로 411,35.9325098,128.5479842
10230152,대구광역시 북구 칠곡중앙대로75길 24,35.9296195,128.5451477
10131337,대구광역시 서구 북비산로30길 8,35.8778745,128.5494141
10131792,대구광역시 서구 문화로 169,35.87502,128.5511206
10146275,대구광역시 서구 고성로 127,35.8824822,128.5792969
10146306,대구광역시 서구 고성로 126-7,35.8813982,128.57944
10223148,대구광역시 북구 동암로37길 4-13,35.9436093,128.5719482
10148434,대구광역시 서구 팔달로 194,35.8880082,128.5709836
10218328,대구광역시 북구 칠곡중앙대로 440,35.9349005,128.5492886
10230533,대구광역시 북구 태암로3길 18,35.9301843,128.5497044
10230627,대구광역시 북구 태암로3길 3-7,35.9290172,128.5488957
10285057,대구광역시 수성구 신매로16길 24-12,35.8376714,128.7103567
10231067,대구광역시 북구 칠곡중앙대로 332,35.9253308,128.547562
10231089,대구광역시 북구 칠곡중앙대로52길 46,35.9224915,128.5498666
10230801,대구광역시 북구 태암로4길 5,35.9280503,128.5494059
10230418,대구광역시 북구 칠곡중앙대로67길 1,35.9260113,128.546798
10230419,대구광역시 북구 칠곡중앙대로65길 2-1,35.9258404,128.5467681
10372111,대구광역시 달성군 다사읍 매곡로14길 13,35.8662395,128.4568337
10230437,대구광역시 북구 칠곡중앙대로 412,35.932283,128.5488934
10077745,대구광역시 동구 화랑로93길 35,35.8758192,128.6778081
10224229,대구광역시 북구 팔거천동로2길 3-3,35.9258346,128.5510743
10224368,대구광역시 북구 팔거천동로4길 32,35.9263194,128.5547764
10224369,대구광역시 북구 팔거천동로4길 32-1,35.9264135,128.5548988
10224663,대구광역시 북구 구암서로 70,35.9423378,128.5670845
10224441,대구광역시 북구 태암로18길 6-8,35.9267693,128.5563647
10122584,대구광역시 서구 문화로69길 32,35.8787109,128.5702651
10129408,대구광역시 서구 염색공단천로11길 26,35.8879314,128.5482594
10125241,대구광역시 서구 서대구로62길 14-8,35.8843401,128.5584925
10121749,대구광역시 서구 문화로63길 22,35.8778819,128.5684842
10122295,대구광역시 서구 통학로40길 70,35.8785114,128.5705536
10122416,대구광역시 서구 문화로67길 24,35.8781062,128.5692975
10224095,대구광역시 북구 팔거천동로 70,35.9303127,128.5550541
10129136,대구광역시 서구 염색공단천로 41,35.8903065,128.5489786
10129140,대구광역시 서구 염색공단천로7길 10,35.8898466,128.5495259
10129443,대구광역시 서구 염색공단중앙로 86,35.8863751,128.5475707
10128817,대구광역시 서구 염색공단로5길 11,35.8875217,128.5546761
10129302,대구광역시 서구 염색공단로11길 34,35.88461119999999,128.552402
10129308,대구광역시 서구 염색공단중앙로12길 27,35.885611,128.5507767
10129310,대구광역시 서구 염색공단중앙로12길 32,35.8849576,128.5517344
10129422,대구광역시 서구 염색공단로13길 22,35.8848925,128.5501578
10129423,대구광역시 서구 염색공단로13길 28,35.8841984,128.549966
10129429,대구광역시 서구 염색공단로 91,35.8852018,128.5466112
10129435,대구광역시 서구 염색공단중앙로 70,35.885084,128.5484143
10129438,대구광역시 서구 염색공단중앙로 60,35.8837508,128.5494071
10129440,대구광역시 서구 염색공단중앙로 122,35.8890866,128.5462837
10129467,대구광역시 서구 염색공단중앙로 100,35.8874769,128.5470779
10129471,대구광역시 서구 염색공단로 74,35.8866636,128.5479825
10129521,대구광역시 서구 염색공단천로 106-4,35.8889277,128.5425295
10109784,대구광역시 서구 통학로 31,35.8629925,128.5639929
10109853,대구광역시 서구 평리로 376,35.8655674,128.5641908
10128169,대구광역시 서구 달서천로53길 43-1,35.8875394,128.560435
10110249,대구광역시 서구 달구벌대로 1811,35.8599987,128.5626719
10110253,대구광역시 서구 달구벌대로 1821,35.8605037,128.5633072
10128923,대구광역시 서구 염색공단로 27,35.8878005,128.5529323
10129096,대구광역시 서구 팔달로2길 34,35.8919577,128.5484873
10129108,대구광역시 서구 염색공단천로10길 6,35.891213,128.5484495
10111061,대구광역시 서구 서대구로8길 6,35.8621047,128.5606848
10111069,대구광역시 서구 서대구로 38,35.8613156,128.5570518
10112833,대구광역시 서구 달구벌대로 1877,35.8618801,128.5696712
10113193,대구광역시 서구 달구벌대로377길 30,35.8648459,128.5697675
10643590,대구광역시 서구 달구벌대로357길 22,35.8614433,128.5599914
10224811,대구광역시 북구 구암로 203,35.9317399,128.5629113
10224812,대구광역시 북구 구암로 201,35.931722,128.5627688
10224813,대구광역시 북구 구암로 199-1,35.9317041,128.5626261
10224826,대구광역시 북구 구암로41길 13-2,35.9330593,128.5632957
10113632,대구광역시 서구 평리로 410,35.8664813,128.5675739
10111154,대구광역시 서구 서대구로 46-1,35.8622067,128.5568767
10114216,대구광역시 서구 큰장로9길 9,35.8653016,128.572124
10113269,대구광역시 서구 달구벌대로377길 14,35.86330710000001,128.5695618
10114492,대구광역시 서구 큰장로11길 6-1,35.8658849,128.5733515
10111170,대구광역시 서구 서대구로 47,35.8622593,128.5560423
10225069,대구광역시 북구 구암로60길 12-21,35.9359682,128.5681602
10642987,대구광역시 서구 서대구로7길 10,35.8612761,128.5553255
10114674,대구광역시 서구 달서로12길 26-1,35.8678141,128.5738896
10111931,대구광역시 서구 평리로 182,35.8599487,128.5442434
10139552,대구광역시 서구 국채보상로46길 63,35.8648708,128.5570809
10112447,대구광역시 서구 달구벌대로337길 13-3,35.8563268,128.5492733
10112451,대구광역시 서구 달구벌대로337길 11,35.8560522,128.5493466
10112483,대구광역시 서구 달구벌대로 1669,35.8546985,128.5483745
10111436,대구광역시 서구 평리로 248,35.862361,128.5506764
10112565,대구광역시 서구 달구벌대로 1707,35.857157,128.5522892
10111676,대구광역시 서구 서대구로3길 32,35.8595646,128.5539949
10143262,대구광역시 서구 서대구로17길 28,35.8651173,128.5526588
10143279,대구광역시 서구 국채보상로34길 50,35.8641623,128.5493739
10143282,대구광역시 서구 국채보상로34길 63,35.8640761,128.5510629
10143333,대구광역시 서구 국채보상로38길 72,35.8633412,128.5533102
10143446,대구광역시 서구 평리로 148,35.8584512,128.540718
10143484,대구광역시 서구 평리로 166,35.8591761,128.5424469
10643539,대구광역시 서구 달서천로 82,35.8822949,128.5429814
10143947,대구광역시 서구 와룡로75길 30,35.8661317,128.5341845
10142983,대구광역시 서구 국채보상로 176,35.8692936,128.5504944
10140117,대구광역시 서구 평리로 277,35.8632609,128.5538572
10140119,대구광역시 서구 평리로 281,35.8632959,128.5541253
10130336,대구광역시 서구 달서천로 164,35.8817346,128.5520452
10643536,대구광역시 서구 달서천로 144,35.881832,128.5500653
10144037,대구광역시 서구 와룡로69길 12,35.8640135,128.5360829
10116281,대구광역시 서구 북비산로 364,35.8789414,128.5730103
10117176,대구광역시 서구 달서로32길 29-8,35.8766436,128.5747313
10117179,대구광역시 서구 국채보상로81길 49,35.8766146,128.5748324
10120328,대구광역시 서구 달서로26길 10,35.8729418,128.5723668
10117915,대구광역시 서구 달서로18길 42-3,35.8706296,128.5758693
10118261,대구광역시 서구 달서로18길 37,35.8704904,128.5751203
10126077,대구광역시 서구 달서천로57길 8,35.8851979,128.5655247
10126268,대구광역시 서구 서대구로66길 2,35.8876156,128.5651482
10126636,대구광역시 서구 서대구로68길 58-8,35.8877333,128.5681501
