시설물번호,사용계약번호,고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,상태,비교기준월
UM23503608,6003690934,이유있는감자탕 황금점,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 청수로 118,35.8398984,128.6209959,1225.4949,1455.3664,229.8715000000002,18.757442401433103,유지,Nov-24
UM23503610,6003690134,의리짬뽕 영대점,일반용(1),영업용,기타영업용,기타영업용,경상북도 경산시 압량읍 압독2로1길 20-9,35.8427534,128.7637632,976.2417,1125.1406,148.8988999999999,15.252257714457384,유지,Nov-24
UM23503615,6003705700,최상식,업무난방용,업무용,일반빌딩,기타 건물,대구광역시 중구 명륜로23길 22,35.8610124,128.5960248,,,,,해지,Nov-24
UM23503615,6003705700,최상식,일반용(1),업무용,일반빌딩,기타 건물,대구광역시 중구 명륜로23길 22,35.8610124,128.5960248,,,,,해지,Nov-24
UM23503615,6003854205,신성실문화사,업무난방용,업무용,일반빌딩,기타 건물,대구광역시 중구 명륜로23길 22,35.8610124,128.5960248,,0.0,,,신규,Nov-24
UM23503676,6003691675,경산중앙교회부설 경산중앙유치원,일반용(1),업무용,교육업,유치원,경상북도 경산시 강변동로 358,35.8405943,128.7293905,102.8664,95.9039,-6.962500000000006,-6.768488058296981,유지,Nov-24
UM23503677,6004023729,호반써밋이스텔라 경로당,업무난방용,업무용,일반빌딩,아파트관리소(노인정),대구광역시 동구 반야월북로 111-11,35.8754532,128.7182643,,2.9661,,,신규,Nov-24
UM23503678,6003782049,김경남,업무난방용,업무용,교육업,어린이집,대구광역시 동구 반야월북로 111-11,35.8754532,128.7182643,,,,,해지,Nov-24
UM23503679,6003691693,고태환,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 들안로2길 10,35.8314467,128.6176648,,,,,해지,Nov-24
UM23503679,6003691748,고찬혁,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 들안로2길 10,35.8314467,128.6176648,,,,,해지,Nov-24
UM23503679,6003695581,고태갈비,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 들안로2길 10,35.8314467,128.6176648,17.8038,0.0,-17.8038,-100.0,유지,Nov-24
UM23503680,6003693664,피자플렉스 남구점,일반용(1),영업용,음식점업,기타 음식점,대구광역시 남구 안지랑로16길 47,35.8372449,128.5741018,129.5721,,,,해지,Nov-24
UM23503680,6003935751,피자플렉스 남구점,일반용(1),영업용,음식점업,기타 음식점,대구광역시 남구 안지랑로16길 47,35.8372449,128.5741018,,0.0,,,신규,Nov-24
UM23503681,6003691862,산호아나고꼼장어,일반용(1),영업용,음식점업,기타 음식점,대구광역시 달서구 진천로16길 39,35.8158523,128.5252544,90.9972,67.2316,-23.765600000000006,-26.116847551353235,유지,Nov-24
UM23503682,6003693906,동일프로이데 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 동구 동촌로 374-3,35.8762246,128.6794359,185.9508,144.3502,-41.600599999999986,-22.371831688812303,유지,Nov-24
UM23503683,6003697615,덕담,일반용(1),영업용,음식점업,한식점,경상북도 경산시 남매공원로2길 4,35.8324564,128.7437222,128.583,155.2259,26.642899999999997,20.720390720390718,유지,Nov-24
UM23503684,6003716980,대구효목초등학교,일반용(1),업무용,교육업,초등학교,대구광역시 동구 화랑로27길 25,35.8765811,128.6422057,242.3295,170.0564,-72.2731,-29.824309462941983,유지,Nov-24
UM23503686,6003693662,밥뚝딱,일반용(1),영업용,음식점업,한식점,대구광역시 북구 산격로 83-1,35.897723,128.6063302,95.9427,73.1638,-22.778900000000007,-23.742191954155977,유지,Nov-24
UM23503687,6003695918,박재현,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로22길 9,35.8760212,128.6277151,,,,,해지,Nov-24
UM23503687,6003742220,그래도족발보쌈,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로22길 9,35.8760212,128.6277151,445.095,578.3895,133.29449999999997,29.947426953796374,유지,Nov-24
UM23503692,6003694888,취밤,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 알파시티2로 19,35.8403342,128.6914129,16.8147,6.9209,-9.893799999999999,-58.8401815078473,유지,Nov-24
